1900, 78.68, -68.79
1905, 78.68, -68.75
1910, 78.66, -68.72
1915, 78.64, -68.57
1920, 78.63, -68.38
1925, 78.62, -68.27
1930, 78.6, -68.26
1935, 78.57, -68.36
1940, 78.55, -68.51
1945, 78.55, -68.53
1950, 78.55, -68.85
1955, 78.54, -69.16
1960, 78.58, -69.47
1965, 78.6, -69.85
1970, 78.66, -70.18
1975, 78.76, -70.47
1980, 78.88, -70.76
1985, 79.04, -70.9
1990, 79.21, -71.13
1995, 79.39, -71.42
2000, 79.61, -71.57
2001, 79.652, -71.618
2002, 79.694, -71.666
2003, 79.736, -71.714
2004, 79.778, -71.762
2005, 79.82, -71.81
2006, 79.872, -71.892
2007, 79.924, -71.974
2008, 79.976, -72.056
2009, 80.028, -72.138
2010, 80.08, -72.22
2011, 80.12269, -72.28949
2012, 80.1544, -72.3434
2013, 80.1932, -72.4008
2014, 80.2309, -72.4611
2015, 80.339, -72.6712
2016, 80.4, -72.6
2017, 80.5, -72.6
2018, 80.5, -72.7
2019, 80.6, -72.7
2020, 80.7,	-72.7
2021, 80.7, -72.7
2022, 80.7, -72.7
2023, 80.8, -72.7
2024, 80.8, -72.6
